/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/46d7842c-5054-479b-8a8f-e6e2da4a8280/0003_image.jpg,260,61,1913,998,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/46d7842c-5054-479b-8a8f-e6e2da4a8280/0002_image.jpg,1094,156,1913,744,2
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/46d7842c-5054-479b-8a8f-e6e2da4a8280/0000_image.jpg,1112,407,1913,790,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/46d7842c-5054-479b-8a8f-e6e2da4a8280/0001_image.jpg,1326,408,1913,747,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0027_image.jpg,816,297,1500,861,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0021_image.jpg,996,350,1451,736,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0015_image.jpg,872,288,1552,848,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0003_image.jpg,989,394,1221,594,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0032_image.jpg,1009,192,1913,1001,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0046_image.jpg,755,281,1446,850,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0049_image.jpg,780,291,1459,850,1
/home/zixu/Extra_Disk/Dataset/ROB535/all/deploy/trainval/b2365de5-858e-40b3-b782-68fdc6068389/0040_image.jpg,816,301,1491,866,1
